sex,studytime,freetime,romantic,Walc,goout,Parents_edu,absences,reason,G3,Pass
F,3,3,no,4,4,4,1,home,9,FALSE
F,2,3,yes,4,4,4,0,reputation,10,TRUE
F,2,3,no,2,3,4,1,course,15,TRUE
M,3,2,yes,4,3,4,3,reputation,12,TRUE
F,3,2,no,2,3,3,3,course,6,FALSE
F,2,1,no,3,3,2,1,reputation,8,FALSE
F,3,3,no,3,2,3,7,reputation,16,TRUE
M,3,2,no,1,2,3,0,reputation,15,TRUE
M,3,2,no,1,3,4,0,course,10,TRUE
F,2,2,yes,4,4,1,1,reputation,5,FALSE
M,1,2,no,2,2,3,1,reputation,14,TRUE
F,2,2,no,4,3,3,7,home,11,TRUE
M,2,2,no,3,3,4,5,home,10,TRUE
M,3,3,no,1,3,4,7,course,10,TRUE
F,3,1,yes,3,3,2,0,reputation,11,TRUE
M,1,3,no,1,1,2,1,home,10,TRUE
F,2,3,no,2,3,4,7,course,5,FALSE
M,1,1,yes,3,2,3,1,course,12,TRUE
M,3,2,no,2,2,3,3,home,11,TRUE
F,2,3,no,1,4,3,7,reputation,6,FALSE
M,2,2,no,3,3,2,3,home,15,TRUE
F,2,2,no,3,2,1,1,home,10,TRUE
F,2,3,yes,3,4,4,5,reputation,8,FALSE
F,2,2,no,2,4,2,3,course,6,FALSE
F,3,2,no,3,3,4,3,reputation,14,TRUE
M,2,3,no,1,2,2,7,reputation,10,TRUE
M,2,1,no,4,3,4,7,reputation,7,FALSE
F,3,2,yes,3,3,3,0,home,8,FALSE
F,1,3,no,3,4,4,3,reputation,18,TRUE
F,2,2,no,3,3,3,3,home,6,FALSE
F,2,2,no,1,3,4,0,home,10,TRUE
M,3,2,no,1,4,2,5,reputation,14,TRUE
F,3,1,no,1,2,1,1,home,10,TRUE
M,1,2,no,1,3,4,1,reputation,15,TRUE
F,2,2,yes,1,4,2,1,course,10,TRUE
F,1,2,no,2,4,4,5,reputation,14,TRUE
F,3,2,no,1,4,4,0,course,8,FALSE
M,1,3,no,4,4,4,7,other,5,FALSE
M,3,3,yes,1,3,4,0,other,17,TRUE
M,1,2,no,1,3,4,3,course,14,TRUE
F,2,2,no,1,4,3,7,home,6,FALSE
M,2,3,no,1,4,4,0,course,18,TRUE
F,3,2,no,1,3,3,7,reputation,11,TRUE
F,3,1,no,1,2,2,7,course,8,FALSE
M,3,2,no,1,3,3,1,home,18,TRUE
M,3,2,yes,4,4,4,5,home,13,TRUE
F,3,3,yes,1,4,4,3,other,16,TRUE
M,1,3,no,1,3,4,5,course,19,TRUE
F,3,1,no,1,2,3,0,reputation,10,TRUE
F,2,1,no,1,2,2,5,home,13,TRUE
M,1,3,no,1,2,4,7,course,19,TRUE
M,2,3,yes,1,2,2,7,reputation,9,FALSE
M,2,3,no,2,4,4,1,course,16,TRUE
M,2,3,no,1,3,4,1,reputation,14,TRUE
M,1,3,no,1,2,3,0,home,13,TRUE
M,2,1,no,4,4,3,7,course,8,FALSE
M,1,3,no,2,3,4,5,reputation,13,TRUE
F,2,1,no,2,3,2,1,course,15,TRUE
M,3,3,no,2,4,2,5,home,15,TRUE
F,2,1,yes,2,2,4,1,course,13,TRUE
M,1,3,no,4,4,4,7,course,13,TRUE
F,2,3,yes,1,4,2,0,home,8,FALSE
M,1,3,no,2,4,4,0,home,12,TRUE
F,2,2,yes,1,2,4,0,home,11,TRUE
F,2,3,no,1,2,1,1,course,9,FALSE
M,1,3,no,4,4,4,7,course,18,TRUE
F,1,3,yes,3,4,2,7,course,12,TRUE
F,1,1,no,4,1,4,7,course,11,TRUE
M,2,3,yes,3,4,1,0,course,12,TRUE
F,1,2,no,1,2,4,0,course,15,TRUE
M,1,2,no,2,3,2,7,reputation,9,FALSE
F,3,1,no,1,2,4,1,course,11,TRUE
F,1,3,no,3,4,1,1,course,13,TRUE
F,2,3,no,2,2,1,0,course,11,TRUE
F,2,2,no,1,2,2,1,course,11,TRUE
M,1,3,no,4,4,2,0,course,10,TRUE
M,1,3,yes,4,4,2,5,course,14,TRUE
F,3,1,yes,3,1,3,7,reputation,10,TRUE
F,1,1,yes,1,1,4,0,course,12,TRUE
M,2,3,no,1,4,3,1,course,8,FALSE
M,1,1,no,3,2,2,7,reputation,13,TRUE
F,1,1,no,4,4,1,5,course,10,TRUE
M,1,1,no,2,2,2,1,course,15,TRUE
M,2,3,yes,4,4,3,3,course,12,TRUE
M,2,3,yes,4,4,3,5,course,7,FALSE
M,1,2,no,4,3,3,1,course,10,TRUE
M,2,2,yes,4,4,1,0,course,7,FALSE
M,1,3,no,1,2,3,7,course,12,TRUE
M,2,2,no,4,4,2,3,course,10,TRUE
F,2,1,yes,1,3,4,0,home,16,TRUE
F,2,3,yes,1,2,4,0,reputation,14,TRUE
M,2,2,yes,1,2,1,1,reputation,16,TRUE
M,2,3,no,3,4,4,0,reputation,10,TRUE
F,2,3,no,1,4,3,3,reputation,9,FALSE
M,2,3,no,4,4,4,3,course,9,FALSE
F,2,3,no,4,4,2,1,reputation,11,TRUE
M,2,2,no,4,4,3,3,reputation,6,FALSE
M,1,2,yes,4,3,4,7,other,9,FALSE
M,2,1,yes,1,3,4,3,course,11,TRUE
M,2,3,no,3,3,4,7,home,8,FALSE
M,2,1,yes,2,3,3,1,home,12,TRUE
F,2,3,no,3,2,4,0,reputation,17,TRUE
F,2,2,yes,3,3,3,7,reputation,8,FALSE
F,2,1,no,2,2,3,7,reputation,12,TRUE
M,2,2,yes,3,4,3,7,other,11,TRUE
M,1,2,yes,2,3,2,1,other,11,TRUE
M,2,1,yes,2,3,2,0,course,15,TRUE
F,2,2,yes,3,3,3,5,reputation,9,FALSE
M,2,1,no,4,3,2,3,home,10,TRUE
F,2,2,no,1,3,3,7,course,13,TRUE
F,2,2,no,1,3,1,0,course,9,FALSE
M,2,3,no,4,4,2,7,other,8,FALSE
M,1,2,no,4,2,3,7,reputation,10,TRUE
M,1,2,no,1,3,3,0,home,14,TRUE
F,2,2,yes,1,2,4,0,course,15,TRUE
M,1,1,no,2,3,4,3,home,16,TRUE
M,1,2,no,4,4,3,7,home,10,TRUE
F,1,1,no,3,4,4,7,home,18,TRUE
F,2,3,no,2,2,4,0,reputation,10,TRUE
F,2,2,no,4,4,4,1,home,16,TRUE
F,2,3,no,3,3,3,5,reputation,10,TRUE
F,2,3,no,3,4,1,3,course,10,TRUE
F,1,2,no,2,2,2,7,reputation,6,FALSE
F,3,2,no,1,4,2,5,reputation,11,TRUE
F,3,3,yes,4,3,4,7,home,9,FALSE
F,2,2,no,2,3,3,4,course,7,FALSE
F,2,2,yes,1,2,4,7,other,13,TRUE
F,1,2,no,4,2,1,5,home,10,TRUE
F,3,3,yes,1,2,4,5,reputation,7,FALSE
F,3,2,no,2,3,3,7,reputation,8,FALSE
M,2,2,yes,4,4,4,7,home,13,TRUE
F,2,2,no,1,4,2,0,reputation,14,TRUE
M,2,3,no,4,4,2,7,home,8,FALSE
F,1,1,no,2,1,4,7,other,10,TRUE
F,2,3,no,3,4,3,1,reputation,15,TRUE
F,2,3,yes,4,4,4,7,reputation,4,FALSE
M,2,1,no,4,4,3,7,home,8,FALSE
F,1,2,no,4,3,3,2,home,8,FALSE
F,3,2,no,1,3,2,3,course,10,TRUE
F,2,1,no,2,4,2,1,reputation,6,FALSE
F,2,2,no,1,1,3,1,other,17,TRUE
M,2,2,no,4,3,2,0,home,13,TRUE
F,3,2,no,1,2,4,0,home,14,TRUE
F,2,2,yes,1,3,3,7,reputation,7,FALSE
F,2,2,no,3,4,3,7,course,15,TRUE
M,2,2,no,3,3,3,1,reputation,12,TRUE
M,2,2,yes,4,2,2,7,course,9,FALSE
F,3,1,yes,2,3,2,7,course,12,TRUE
F,2,1,yes,2,3,4,7,reputation,14,TRUE
M,2,3,no,1,2,2,3,course,11,TRUE
M,2,3,yes,3,4,4,7,reputation,9,FALSE
M,2,1,no,4,4,4,1,reputation,13,TRUE
M,2,3,no,1,2,1,7,home,6,FALSE
M,3,2,yes,3,3,3,7,reputation,10,TRUE
M,2,3,yes,4,2,2,3,home,13,TRUE
F,1,3,yes,1,2,2,7,home,12,TRUE
F,2,1,no,1,1,2,1,course,11,TRUE
M,2,3,yes,4,4,4,7,course,12,TRUE
M,2,2,no,3,3,4,1,course,12,TRUE
M,1,2,no,2,2,4,0,course,12,TRUE
M,1,2,no,1,3,2,5,course,18,TRUE
M,1,1,no,1,2,3,3,course,13,TRUE
M,1,3,yes,4,4,3,7,other,8,FALSE
M,2,2,yes,3,3,3,7,course,5,FALSE
M,1,2,no,4,2,2,0,other,15,TRUE
M,1,3,no,4,4,3,0,course,8,FALSE
M,2,2,no,3,3,3,5,reputation,10,TRUE
M,1,1,no,4,4,2,3,other,8,FALSE
M,1,2,no,3,2,2,0,course,8,FALSE
M,1,3,no,4,2,2,0,course,12,TRUE
M,1,3,no,2,4,1,1,course,8,FALSE
F,3,1,no,1,3,4,5,reputation,13,TRUE
M,2,2,no,1,1,4,7,reputation,11,TRUE
M,2,1,no,2,4,2,7,home,14,TRUE
F,2,1,yes,3,2,4,7,home,18,TRUE
M,2,2,no,1,2,4,1,course,8,FALSE
M,3,2,no,1,2,3,0,course,12,TRUE
F,3,1,no,1,3,3,3,home,9,FALSE
M,2,1,no,4,4,4,7,reputation,17,TRUE
M,2,3,yes,4,4,3,1,other,10,TRUE
F,2,2,no,2,4,4,7,reputation,11,TRUE
M,2,3,yes,3,4,4,7,reputation,10,TRUE
F,2,2,no,3,4,3,7,home,9,FALSE
F,3,3,yes,3,4,3,3,reputation,14,TRUE
F,2,3,no,1,3,1,1,home,11,TRUE
M,2,3,yes,2,2,2,1,home,14,TRUE
F,2,2,yes,1,3,4,1,reputation,10,TRUE
F,2,3,yes,3,4,2,5,course,12,TRUE
F,2,1,yes,1,1,3,7,home,9,FALSE
M,1,1,no,4,4,4,7,home,9,FALSE
F,2,3,yes,1,4,4,7,reputation,8,FALSE
M,1,1,no,2,3,4,7,course,10,TRUE
M,1,3,yes,4,4,4,7,home,8,FALSE
M,1,3,no,4,4,3,7,home,10,TRUE
F,3,1,no,1,2,1,0,reputation,12,TRUE
F,2,3,no,1,4,1,3,home,10,TRUE
F,2,3,no,2,4,2,3,course,11,TRUE
M,2,2,no,2,3,1,1,reputation,11,TRUE
F,3,2,no,2,3,2,4,other,19,TRUE
F,3,2,no,1,3,1,5,reputation,12,TRUE
M,3,1,no,3,4,2,5,reputation,14,TRUE
M,2,3,no,1,3,4,7,reputation,15,TRUE
M,2,2,yes,4,2,4,7,home,11,TRUE
F,3,1,no,2,2,4,0,reputation,15,TRUE
F,2,3,yes,1,3,2,7,reputation,13,TRUE
F,3,1,no,1,2,3,5,reputation,18,TRUE
M,3,3,no,1,2,3,7,reputation,14,TRUE
M,1,3,no,3,3,3,3,home,11,TRUE
F,2,3,yes,2,4,4,7,home,8,FALSE
F,3,2,no,1,3,4,0,reputation,14,TRUE
M,1,3,yes,2,2,4,4,home,16,TRUE
F,2,1,yes,1,4,4,7,home,11,TRUE
M,1,1,no,2,1,4,0,home,10,TRUE
F,3,2,no,1,3,4,0,reputation,14,TRUE
F,3,1,no,2,2,3,0,reputation,18,TRUE
M,2,3,yes,1,4,3,7,home,13,TRUE
F,2,3,no,1,3,4,7,reputation,12,TRUE
M,1,3,no,1,3,3,0,course,18,TRUE
M,1,2,yes,1,4,4,7,reputation,8,FALSE
M,2,3,yes,2,3,3,0,reputation,12,TRUE
F,2,3,no,3,3,1,7,reputation,10,TRUE
F,2,3,yes,1,1,2,7,other,13,TRUE
M,2,3,no,2,2,2,2,course,11,TRUE
F,2,1,yes,2,2,3,7,reputation,11,TRUE
F,3,1,yes,1,2,1,7,home,13,TRUE
F,3,1,yes,1,2,3,7,reputation,11,TRUE
F,3,2,yes,1,4,4,7,course,9,FALSE
F,3,2,no,4,4,4,0,course,10,TRUE
F,2,3,no,3,4,4,1,course,11,TRUE
F,2,1,yes,2,2,4,7,course,13,TRUE
F,2,1,yes,1,2,2,7,course,9,FALSE
F,3,2,no,2,2,2,2,course,11,TRUE
F,3,3,no,3,3,3,0,course,15,TRUE
F,3,2,no,3,3,2,0,home,15,TRUE
M,3,2,no,2,3,4,2,course,11,TRUE
M,1,2,no,4,4,3,2,reputation,16,TRUE
M,1,3,no,4,4,2,7,course,10,TRUE
F,3,3,no,3,4,4,6,course,9,FALSE
F,3,2,yes,2,3,4,3,course,14,TRUE
M,3,3,no,4,4,2,1,course,8,FALSE
F,3,3,yes,1,3,4,6,course,14,TRUE
F,3,3,no,3,4,4,7,course,15,TRUE
F,3,3,no,2,3,3,7,home,13,TRUE
F,3,2,no,1,3,3,6,home,17,TRUE
F,2,2,no,3,3,3,3,home,10,TRUE
F,3,2,yes,3,4,2,3,home,11,TRUE
M,2,2,yes,3,3,4,7,home,15,TRUE
F,3,2,no,2,3,3,3,course,10,TRUE
F,3,3,yes,3,3,3,6,other,14,TRUE
M,3,2,yes,2,2,4,7,course,16,TRUE
M,3,3,yes,3,4,4,0,course,9,FALSE
F,3,3,yes,3,3,4,0,reputation,15,TRUE
M,1,3,no,4,4,3,7,course,13,TRUE
M,2,3,no,3,4,1,7,home,8,FALSE
M,2,3,no,3,4,3,1,course,13,TRUE
M,1,2,yes,3,3,3,6,course,8,FALSE
M,1,3,no,3,4,1,3,home,8,FALSE
M,2,3,yes,3,4,4,3,home,11,TRUE
F,2,2,yes,1,4,3,0,course,9,FALSE
F,2,2,no,2,3,4,3,other,13,TRUE
F,2,1,yes,2,3,3,1,reputation,11,TRUE
M,1,2,yes,2,2,1,3,home,10,TRUE
F,3,2,no,1,2,1,0,course,16,TRUE
F,2,2,yes,4,4,4,0,course,13,TRUE
M,2,3,no,3,3,1,1,other,12,TRUE
F,2,2,yes,3,2,3,0,other,10,TRUE
F,2,2,yes,1,4,4,0,course,15,TRUE
F,2,1,no,2,2,2,0,course,12,TRUE
M,2,2,no,4,4,3,3,course,10,TRUE
M,3,1,yes,2,2,4,0,other,13,TRUE
F,1,1,yes,2,3,3,0,course,10,TRUE
F,2,1,yes,2,2,4,7,other,11,TRUE
F,2,1,yes,1,2,3,3,home,9,FALSE
M,1,2,yes,3,3,2,2,other,12,TRUE
F,3,3,yes,1,3,2,7,home,11,TRUE
F,1,3,no,3,4,2,7,course,5,FALSE
F,3,3,no,1,4,4,0,reputation,19,TRUE
F,3,2,no,2,2,1,1,home,10,TRUE
F,3,3,yes,1,3,4,3,course,15,TRUE
F,2,3,no,4,3,4,3,course,10,TRUE
F,2,1,yes,2,3,3,0,home,15,TRUE
F,2,3,no,3,4,3,7,reputation,10,TRUE
M,2,1,no,4,4,4,3,home,14,TRUE
M,1,3,yes,3,3,2,4,other,7,FALSE
M,2,3,no,1,3,3,1,home,10,TRUE
M,1,3,no,3,3,4,7,home,5,FALSE
F,3,2,no,3,3,2,1,other,10,TRUE
F,1,3,yes,2,3,4,6,reputation,6,FALSE
F,2,2,no,1,4,3,0,course,8,FALSE
M,2,3,no,4,4,2,7,course,9,FALSE
M,1,3,no,4,4,3,2,course,16,TRUE
M,1,3,no,3,3,1,2,course,7,FALSE
M,1,3,no,4,1,3,0,course,10,TRUE
M,1,1,no,3,3,1,4,course,9,FALSE
