,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject,Pass,Parents_edu
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,1,1,3,5,1,15,15,16,Maths,TRUE,4
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,2,4,5,0,13,13,12,Maths,TRUE,2
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,1,10,9,8,Maths,FALSE,4
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,1,2,1,3,5,7,6,9,8,Maths,FALSE,2
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,1,2,1,2,5,1,12,12,11,Maths,TRUE,2
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,1,4,2,4,1,3,15,16,15,Maths,TRUE,4
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,2,3,1,1,5,3,11,11,11,Maths,TRUE,4
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,4,5,4,5,7,10,12,11,Maths,TRUE,4
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,3,2,3,4,5,0,9,11,12,Maths,TRUE,4
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,1,1,1,5,0,17,16,17,Maths,TRUE,4
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,1,5,0,17,16,16,Maths,TRUE,4
33,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,2,2,1,1,2,0,8,10,12,Maths,TRUE,3
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,3,3,1,1,5,0,12,14,15,Maths,TRUE,3
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,3,1,1,1,5,0,8,7,6,Maths,FALSE,3
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,4,1,15,16,18,Maths,TRUE,4
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,3,3,1,1,5,6,15,16,15,Maths,TRUE,4
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,1,12,12,11,Maths,TRUE,4
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,2,1,1,1,2,7,14,13,13,Maths,TRUE,2
40,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,2,3,1,2,3,7,7,10,11,Maths,TRUE,2
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,3,3,2,4,5,7,12,12,12,Maths,TRUE,4
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,1,5,1,19,18,18,Maths,TRUE,4
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,3,1,1,1,1,0,8,8,11,Maths,TRUE,2
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,2,3,2,2,5,7,10,10,9,Maths,FALSE,2
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,1,2,1,1,5,7,8,8,6,Maths,FALSE,4
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,2,4,1,4,3,7,11,12,11,Maths,TRUE,3
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,1,2,1,1,2,3,19,19,20,Maths,TRUE,4
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,2,3,2,2,5,1,15,15,14,Maths,TRUE,4
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,3,4,1,1,3,1,7,7,7,Maths,FALSE,4
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,2,3,4,1,12,13,13,Maths,TRUE,2
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,1,11,13,13,Maths,TRUE,4
52,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,3,4,3,4,5,5,11,11,10,Maths,TRUE,4
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,2,4,2,3,5,0,8,10,11,Maths,TRUE,4
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,2,4,4,4,1,5,10,13,13,Maths,TRUE,3
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,2,4,1,1,2,7,8,9,10,Maths,TRUE,2
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,1,0,14,15,15,Maths,TRUE,4
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,1,2,1,1,5,3,14,15,15,Maths,TRUE,4
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,2,2,1,1,5,1,9,10,9,Maths,FALSE,2
59,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,1,3,1,1,5,1,15,16,16,Maths,TRUE,4
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,3,4,2,3,4,5,10,11,11,Maths,TRUE,4
61,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,3,4,5,4,5,5,10,8,11,Maths,TRUE,1
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,3,3,1,1,1,3,8,10,9,Maths,FALSE,2
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,3,4,2,4,4,1,10,9,9,Maths,FALSE,4
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,3,4,2,4,2,0,10,10,10,Maths,TRUE,4
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,2,1,1,16,15,15,Maths,TRUE,4
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,3,0,no,yes,no,yes,no,yes,yes,yes,1,2,3,5,4,3,3,13,13,12,Maths,TRUE,4
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,4,2,3,1,2,5,3,7,7,6,Maths,FALSE,3
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,1,8,9,8,Maths,FALSE,2
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,3,0,no,yes,no,no,no,yes,yes,no,4,3,2,2,3,3,7,16,16,16,Maths,TRUE,3
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,5,0,13,15,15,Maths,TRUE,3
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,3,0,no,no,no,no,yes,yes,yes,no,3,2,3,1,1,3,0,10,10,10,Maths,TRUE,4
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,2,4,2,4,5,1,8,6,5,Maths,FALSE,1
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,2,2,2,2,5,1,12,12,14,Maths,TRUE,3
74,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,2,3,2,4,5,7,11,12,11,Maths,TRUE,3
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,2,3,5,5,9,9,10,Maths,TRUE,4
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,3,3,3,1,1,1,7,11,11,10,Maths,TRUE,4
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,3,0,no,no,yes,no,yes,yes,yes,yes,5,1,3,1,3,3,0,11,11,11,Maths,TRUE,2
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,3,1,1,1,3,1,8,8,10,Maths,TRUE,2
79,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,3,1,2,3,7,5,5,5,Maths,FALSE,4
80,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,1,2,1,3,3,1,10,12,12,Maths,TRUE,3
81,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,2,2,1,2,5,3,11,10,11,Maths,TRUE,3
82,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,4,1,1,5,7,7,6,6,Maths,FALSE,3
83,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,2,3,1,3,4,3,15,15,15,Maths,TRUE,2
84,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,2,2,2,3,4,1,9,10,10,Maths,TRUE,1
85,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,3,4,2,3,5,5,7,9,8,Maths,FALSE,4
86,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,2,4,1,2,2,3,8,7,6,Maths,FALSE,2
87,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,3,1,3,1,3,13,14,14,Maths,TRUE,4
88,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,3,2,1,1,3,7,11,10,10,Maths,TRUE,2
89,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,4,5,7,8,6,7,Maths,FALSE,4
90,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,2,3,1,3,4,0,7,7,8,Maths,FALSE,3
91,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,3,4,1,3,1,3,16,17,18,Maths,TRUE,4
92,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,2,3,2,3,2,3,7,6,6,Maths,FALSE,3
93,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,2,3,1,1,1,0,11,10,10,Maths,TRUE,4
94,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,1,1,4,5,11,13,14,Maths,TRUE,2
95,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,3,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,1,7,10,10,Maths,TRUE,1
96,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,2,3,1,1,4,1,11,15,15,Maths,TRUE,4
97,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,2,4,1,1,5,1,8,9,10,Maths,TRUE,2
98,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,2,4,1,2,1,5,11,14,14,Maths,TRUE,4
99,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,2,4,1,1,3,0,7,9,8,Maths,FALSE,4
100,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,4,5,4,4,7,7,7,5,Maths,FALSE,4
101,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,4,0,16,17,17,Maths,TRUE,4
102,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,2,3,1,1,5,3,10,13,14,Maths,TRUE,4
103,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,2,4,1,1,2,7,7,6,6,Maths,FALSE,3
104,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,4,1,1,1,0,16,18,18,Maths,TRUE,4
105,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,3,0,yes,no,no,no,yes,yes,no,no,4,2,3,1,1,4,7,10,11,11,Maths,TRUE,3
106,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,7,7,8,8,Maths,FALSE,2
107,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,3,1,1,5,1,16,18,18,Maths,TRUE,3
108,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,3,0,no,yes,yes,yes,yes,yes,yes,yes,1,2,4,3,4,1,5,10,13,13,Maths,TRUE,4
109,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,3,4,1,1,4,3,14,15,16,Maths,TRUE,4
110,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,4,5,18,19,19,Maths,TRUE,4
111,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10,Maths,TRUE,3
112,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,5,10,13,13,Maths,TRUE,2
113,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,3,2,1,1,3,7,18,19,19,Maths,TRUE,4
114,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,5,7,9,9,9,Maths,FALSE,2
115,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,5,1,15,15,16,Maths,TRUE,4
116,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,3,3,1,1,2,1,11,13,14,Maths,TRUE,4
117,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,3,2,1,1,5,0,13,14,13,Maths,TRUE,3
118,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,1,4,1,4,5,7,9,7,8,Maths,FALSE,3
119,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,2,4,5,14,13,13,Maths,TRUE,4
120,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,1,3,1,2,1,1,16,15,15,Maths,TRUE,2
121,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,3,0,no,yes,yes,yes,yes,yes,yes,no,5,3,4,1,2,5,5,16,14,15,Maths,TRUE,2
122,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,1,2,1,2,5,1,13,13,13,Maths,TRUE,4
123,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,4,1,4,5,7,14,11,13,Maths,TRUE,4
124,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,3,4,1,1,5,0,8,7,8,Maths,FALSE,2
125,GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,3,4,3,2,5,0,13,13,12,Maths,TRUE,4
126,GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,2,2,1,1,1,0,7,10,11,Maths,TRUE,4
127,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,no,yes,no,no,no,no,no,no,3,3,2,1,1,5,1,7,8,9,Maths,FALSE,1
128,GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,3,4,2,4,4,7,18,18,18,Maths,TRUE,4
129,GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,3,4,1,3,5,7,10,13,12,Maths,TRUE,2
130,GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,1,1,1,4,5,7,12,11,11,Maths,TRUE,4
131,GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,1,no,no,no,no,yes,yes,no,yes,4,3,4,1,3,5,0,14,12,12,Maths,TRUE,1
132,GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,5,0,16,16,15,Maths,TRUE,4
133,GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,2,3,2,2,2,7,9,9,9,Maths,FALSE,2
134,GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,1,2,1,1,5,1,9,11,11,Maths,TRUE,4
135,GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,3,4,3,3,1,1,14,14,13,Maths,TRUE,1
136,GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,2,5,0,8,11,11,Maths,TRUE,1
137,GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,2,2,1,1,5,1,10,11,11,Maths,TRUE,2
138,GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4,3,4,2,4,5,0,8,9,10,Maths,TRUE,2
139,GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,3,4,3,4,5,5,12,13,14,Maths,TRUE,2
140,GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4,1,1,2,3,3,7,10,10,10,Maths,TRUE,3
141,GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,1,1,1,1,4,0,11,11,12,Maths,TRUE,4
142,GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,3,4,1,1,1,1,11,8,8,Maths,FALSE,3
143,GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,no,2,1,2,3,3,5,7,16,12,13,Maths,TRUE,2
144,GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,1,4,1,4,4,5,9,8,10,Maths,TRUE,1
145,GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,1,2,1,2,3,1,17,15,15,Maths,TRUE,2
146,GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,3,4,4,4,5,3,10,12,12,Maths,TRUE,3
147,GP,M,15,R,GT3,T,3,2,other,other,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,3,4,1,4,3,5,5,9,7,Maths,FALSE,3
148,GP,M,17,U,GT3,T,1,3,at_home,services,course,father,1,1,0,no,no,no,no,yes,no,yes,no,5,2,3,1,4,2,1,10,10,10,Maths,TRUE,3
149,GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5,2,4,1,4,5,0,5,8,7,Maths,FALSE,1
150,GP,M,16,U,GT3,T,3,2,services,services,course,mother,2,1,1,no,yes,no,yes,no,no,no,no,4,3,2,1,1,2,7,12,11,12,Maths,TRUE,3
151,GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,no,no,no,no,yes,no,yes,no,4,2,4,2,4,4,3,10,10,10,Maths,TRUE,2
152,GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,1,3,1,1,3,0,14,15,16,Maths,TRUE,4
153,GP,F,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,1,1,3,0,14,14,14,Maths,TRUE,4
